stateid,state
1,"Andhra Pradesh"
2,ArunachalPradesh
3,Assam
4,Bihar
5,Chattisgarh
6,Goa
7,Gujarat
8,Haryana
9,"Himachal pradesh"
10,Jharkhand
11,Karnataka
12,Kerala
13,MadhyaPradesh
14,Maharastra
15,Manipur
16,Meghalaya
17,Mizoram
18,Nagaland
19,Odisha
20,Punjab
21,Rajasthan
22,Sikkim
23,Tamilnadu
24,Telangana
25,Tripura
26,Uttarkhand
27,Uttarpradesh
28,"West bengal"
